Date      ,Time    ,Cl.,Event,User  ,Group,Terminal Name       ,Peer         ,Source TA      ,ABAP Source        ,Audit Log Msg. Text                                                                                                             ,Note,First Variable Value for Event                   ,Variable 2,Variable Data for Message       
2/3/2025,8:23:23,200, AU5 ,FF_PTP,     ,LAPTOP-MNGFTE2T     ,10.155.152.38,               ,SAPMSSY1           ,"RFC/CPIC logon successful (type=F, method=R)                                                                                    ",    ,F                                                ,0,R                               
2/3/2025,8:23:23,200, AUK ,FF_PTP,     ,LAPTOP-MNGFTE2T     ,10.155.152.38,               ,SAPMSSY1           ,Successful RFC call SUSR_USER_SU53_READ (function group = SUSR_USER_SU53)                                                       ,    ,SUSR_USER_SU53                                   ,          ,SUSR_USER_SU53_READ             
2/4/2025,12:34:18,200, AU1 ,FF_OTC,     ,172.30.254.18       ,172.30.254.18,S000           ,SAPMHTTP           ,"Logon successful (type=H, method=P)                                                                                             ",    ,H                                                ,0,P                               
2/4/2025,12:34:18,200, CUI ,FF_OTC,     ,172.30.254.18       ,172.30.254.18,S000           ,SAPMHTTP           ,Application R3TR WDYA APOC_WD_BRF_DEC_TAB_MAINTAIN started                                                                      ,    ,R3TR WDYA APOC_WD_BRF_DEC_TAB_MAINTAIN           ,          ,                                
2/4/2025,12:34:26,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               
2/4/2025,12:34:27,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               
2/4/2025,12:34:27,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               
2/4/2025,12:34:27,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               
2/4/2025,12:34:28,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               
2/4/2025,12:34:40,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               
2/4/2025,12:34:40,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               
2/4/2025,12:34:41,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               
2/4/2025,12:34:41,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               
2/4/2025,12:34:48,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               
2/4/2025,12:34:48,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               
2/4/2025,12:34:48,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               
2/4/2025,12:46:48,200, AU5 ,FF_OTC,     ,172.30.254.18       ,10.155.152.40,               ,SAPMSSY1           ,"RFC/CPIC logon successful (type=F, method=R)                                                                                    ",    ,F                                                ,0,R                               
2/4/2025,12:46:48,200, AUK ,FF_OTC,     ,172.30.254.18       ,10.155.152.40,               ,SAPMSSY1           ,Successful RFC call FDT_CLEANUP_START (function group = FDT_CLEAN_UP)                                                           ,    ,FDT_CLEAN_UP                                     ,          ,FDT_CLEANUP_START               
2/4/2025,12:46:48,200, AU5 ,FF_OTC,     ,172.30.254.18       ,10.155.152.40,               ,SAPMSSY1           ,"RFC/CPIC logon successful (type=F, method=R)                                                                                    ",    ,F                                                ,0,R                               
