TCode,Category
SM30,Table Maintenance
SM31,Table Maintenance
SM34,Table Maintenance
SE16,Table Maintenance
SE16N,Table Maintenance
SM32,Table Maintenance
SE11,Table Maintenance
SE13,Table Maintenance
SE38,Development
SE80,Development
SE24,Development
SE37,Development
/H,Debugging
ABAPDBG,Debugging
SU01,Security Management
SU10,Security Management
PFCG,Security Management
SM19,Security Management
SU53,Security Management
SU21,Security Management
SU22,Security Management
SU25,Security Management
SU56,Security Management
SUIM,Security Management
STMS,Transport Management
SE01,Transport Management
SE09,Transport Management
SE10,Transport Management
SE03,Transport Management
