SAP SYSTEM,AS INSTANCE,DATE,TIME,CL.,EVENT,USER,GROUP,TERMINAL NAME,PEER,SOURCE TA,ABAP SOURCE,AUDIT LOG MSG. TEXT,NOTE,FIRST VARIABLE VALUE FOR EVENT,VARIABLE 2,VARIABLE DATA FOR MESSAGE,SYSAID#,DATETIME
S4P,vhcnss4pai01_S4P_00,2025-03-17,09:59:02,200,AU1,FF_OTC,,172.30.254.10,172.30.254.10,S000,SAPMHTTP,"Logon successful (type=H, method=P)",,H,0,P,114655,2025-03-17 09:59:02
S4P,vhcnss4pai01_S4P_00,2025-03-17,09:59:02,200,CUI,FF_OTC,,172.30.254.10,172.30.254.10,S000,SAPMHTTP,Application R3TR WDYA APOC_WD_BRF_DEC_TAB_MAINTAIN started,,R3TR WDYA APOC_WD_BRF_DEC_TAB_MAINTAIN,,,114655,2025-03-17 09:59:02
S4P,vhcnss4pai01_S4P_00,2025-03-17,09:59:07,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,114655,2025-03-17 09:59:07
S4P,vhcnss4pai01_S4P_00,2025-03-17,09:59:07,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,114655,2025-03-17 09:59:07
S4P,vhcnss4pai01_S4P_00,2025-03-17,09:59:07,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,114655,2025-03-17 09:59:07
S4P,vhcnss4pai01_S4P_00,2025-03-17,09:59:26,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,114655,2025-03-17 09:59:26
S4P,vhcnss4pai01_S4P_00,2025-03-17,09:59:26,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,114655,2025-03-17 09:59:26
S4P,vhcnss4pai01_S4P_00,2025-03-17,09:59:26,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,114655,2025-03-17 09:59:26
S4P,vhcnss4pai01_S4P_00,2025-03-17,09:59:27,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,114655,2025-03-17 09:59:27
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:02:31,200,AU5,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"RFC/CPIC logon successful (type=F, method=R)",,F,0,R,114655,2025-03-17 10:02:31
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:02:31,200,AUK,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,Successful RFC call FDT_CLEANUP_START (function group = FDT_CLEAN_UP),,FDT_CLEAN_UP,,FDT_CLEANUP_START,114655,2025-03-17 10:02:31
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:02:31,200,AU5,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"RFC/CPIC logon successful (type=F, method=R)",,F,0,R,114655,2025-03-17 10:02:31
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:02:31,200,AUK,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,Successful RFC call FDT_CLEANUP_START_FOR_CLIENT (function group = FDT_CLEAN_UP),,FDT_CLEAN_UP,,FDT_CLEANUP_START_FOR_CLIENT,114655,2025-03-17 10:02:31
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:03:31,200,AU5,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"RFC/CPIC logon successful (type=F, method=R)",,F,0,R,114655,2025-03-17 10:03:31
