CL.,OBJECT,OBJECT VALUE,DOC.NUMBER,TABLE NAME,TABLE KEY,FIELD NAME,CHANGE INDICATOR,TEXT FLAG,UNIT,UNIT.1,CUKY,CUKY.1,NEW VALUE,OLD VALUE,DATA AGING FILTER
200,/SCWM/CHM_QUAN ,Guid parent:000D3A0C86271EDAAC81AEDB1A4F98B5       ,3213361,/SCWM/QUAN      ,200000D3A0C86271EDAAC81AEDB1A4F98B5000D3A0C4C9A1EEDB7BD0E1D97045E07,CAPA               ,E               ,1,    ,    ,    ,    ,                                ,0,                 
200,/SCWM/CHM_QUAN ,Guid parent:000D3A0C86271EDAAC81AEDB1A4F98B5       ,3213361,/SCWM/QUAN      ,200000D3A0C86271EDAAC81AEDB1A4F98B5000D3A0C4C9A1EEDB7BD0E1D97045E07,COO                ,E               ,1,    ,    ,    ,    ,                                ,                                 ,                 
200,/SCWM/CHM_QUAN ,Guid parent:000D3A0C86271EDAAC81AEDB1A4F98B5       ,3213361,/SCWM/QUAN      ,200000D3A0C86271EDAAC81AEDB1A4F98B5000D3A0C4C9A1EEDB7BD0E1D97045E07,DSTGRP             ,E               ,1,    ,    ,    ,    ,                                ,                                 ,                 
200,/SCWM/CHM_QUAN ,Guid parent:000D3A0C86271EDAAC81AEDB1A4F98B5       ,3213361,/SCWM/QUAN      ,200000D3A0C86271EDAAC81AEDB1A4F98B5000D3A0C4C9A1EEDB7BD0E1D97045E07,IDPLATE            ,E               ,1,    ,    ,    ,    ,                                ,                                 ,                 
200,/SCWM/CHM_QUAN ,Guid parent:000D3A0C86271EDAAC81AEDB1A4F98B5       ,3213361,/SCWM/QUAN      ,200000D3A0C86271EDAAC81AEDB1A4F98B5000D3A0C4C9A1EEDB7BD0E1D97045E07,UNIT_V             ,E               ,1,    ,    ,    ,    ,                                ,                                 ,                 
200,/SCWM/CHM_QUAN ,Guid parent:000D3A0C86271EDAAC81AEDB1A4F98B5       ,3213361,/SCWM/QUAN      ,200000D3A0C86271EDAAC81AEDB1A4F98B5000D3A0C4C9A1EEDB7BD0E1D97045E07,UNIT_W             ,E               ,1,    ,    ,    ,    ,                                ,                                 ,                 
200,/SCWM/NQUAN_CHD,Guid parent:000D3A0C86271EDAAC81AEDB1A4F98B5       ,3213362,/SCWM/S_NQUAN_CD,8718CCD932CD1EEFBC8F0C5D0E1783FF                                   ,QUAN               ,E               ,1,    ,    ,    ,    ,                                ,-1,                 
200,/SCWM/NQUAN_CHD,Guid parent:000D3A0C86271EDAAC81AEDB1A4F98B5       ,3213363,/SCWM/S_NQUAN_CD,8718CCD932CD1EEFBC8F0C5D0E17A3FF                                   ,QUAN               ,U               ,1,    ,    ,    ,    ,1,2,                 
200,KRED           ,1005336,3217959,LFA1            ,2000001005336,LOEVM              ,U               ,1,    ,    ,    ,    ,X                               ,                                 ,                 
200,KRED           ,1005336,3217959,LFA1            ,2000001005336,SPERR              ,U               ,1,    ,    ,    ,    ,X                               ,                                 ,                 
