DATE,TIME,CL.,EVENT,USER,GROUP,TERMINAL NAME,PEER,SOURCE TA,ABAP SOURCE,AUDIT LOG MSG. TEXT,NOTE,FIRST VARIABLE VALUE FOR EVENT,VARIABLE 2,VARIABLE DATA FOR MESSAGE,DATETIME
2025-02-04,12:34:18,200, AU1 ,FF_OTC,     ,172.30.254.18       ,172.30.254.18,S000           ,SAPMHTTP           ,"Logon successful (type=H, method=P)                                                                                             ",    ,H                                                ,0,P                               ,2025-02-04 12:34:18
2025-02-04,12:34:18,200, CUI ,FF_OTC,     ,172.30.254.18       ,172.30.254.18,S000           ,SAPMHTTP           ,Application R3TR WDYA APOC_WD_BRF_DEC_TAB_MAINTAIN started                                                                      ,    ,R3TR WDYA APOC_WD_BRF_DEC_TAB_MAINTAIN           ,          ,                                ,2025-02-04 12:34:18
2025-02-04,12:34:26,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               ,2025-02-04 12:34:26
2025-02-04,12:34:27,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               ,2025-02-04 12:34:27
2025-02-04,12:34:27,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               ,2025-02-04 12:34:27
2025-02-04,12:34:27,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               ,2025-02-04 12:34:27
2025-02-04,12:34:28,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               ,2025-02-04 12:34:28
2025-02-04,12:34:40,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               ,2025-02-04 12:34:40
2025-02-04,12:34:40,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               ,2025-02-04 12:34:40
2025-02-04,12:34:41,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               ,2025-02-04 12:34:41
2025-02-04,12:34:41,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               ,2025-02-04 12:34:41
2025-02-04,12:34:48,200, AU1 ,FF_OTC,     ,                    ,             ,S000           ,SAPMSSYC           ,"Logon successful (type=E, method=A)                                                                                             ",    ,E                                                ,0,A                               ,2025-02-04 12:34:48
